580.0,388.0,638.0,436.0
581.0,387.0,639.0,438.0
588.0,390.0,649.0,433.0
593.0,389.0,649.0,436.0
595.0,389.0,649.0,436.0
590.0,386.0,653.0,439.0
591.0,385.0,655.0,438.0
594.0,386.0,660.0,437.0
594.0,386.0,661.0,437.0
594.0,385.0,661.0,439.0
598.0,384.0,662.0,441.0
599.0,385.0,663.0,442.0
599.0,384.0,662.0,441.0
598.0,383.0,661.0,441.0
600.0,383.0,662.0,442.0
600.0,382.0,662.0,442.0
598.0,380.0,662.0,443.0
597.0,382.0,661.0,442.0
596.0,381.0,660.0,442.0
597.0,380.0,661.0,442.0
587.0,382.0,661.0,441.0
587.0,382.0,661.0,441.0
596.0,378.0,663.0,440.0
